cinema_treasures_id,cinema_treasures_url,name,borough,street_address,city,state,zip,full_address,latitude,longitude,status,showing_movies,status_facts,status_raw,screens,seats,year_opened_guess,year_closed_guess,borough_source,data_quality_flags,fetch_error
23611,https://cinematreasures.org/theaters/23611,Arrow Theatre,Manhattan,906 3rd Avenue,New York,NY,10022,"906 3rd Avenue, New York, NY 10022",40.7589993,-73.9686744,Demolished,,Closed;Demolished,closed,1,299,,,detail_city,no_year_opened;no_year_closed,
9502,https://cinematreasures.org/theaters/9502,Art East Cinema,Manhattan,1105 1st Avenue,New York,NY,10065,"1105 1st Avenue, New York, NY 10065",40.7606517,-73.9614252,Closed,,Closed,closed,1,220,1973,1994,detail_city,,
4098,https://cinematreasures.org/theaters/4098,Art Greenwich Twin,Manhattan,97 Greenwich Avenue,New York,NY,10013,"97 Greenwich Avenue, New York, NY 10013",40.7375789,-74.0018115,Demolished,,Closed;Demolished,closed,2,590,1932,2000,detail_city,,
518,https://cinematreasures.org/theaters/518,Astor Theatre,Manhattan,1531 Broadway,New York,NY,10036,"1531 Broadway, New York, NY 10036",40.75868,-73.98629,Demolished,,Closed;Demolished,closed,1,1141,1906,1972,detail_city,,
6233,https://cinematreasures.org/theaters/6233,Astral Theatre,Manhattan,544 W. 181st Street,New York,NY,10033,"544 W. 181st Street, New York, NY 10033",40.8488577,-73.9326825,Closed,,Closed,closed,1,596,,1986,detail_city,no_year_opened,
14693,https://cinematreasures.org/theaters/14693,Atlas Theatre,Manhattan,1888 3rd Avenue,New York,NY,10029,"1888 3rd Avenue, New York, NY 10029",40.7905174,-73.9455536,Demolished,,Closed;Demolished,closed,1,450,,,detail_city,no_year_opened;no_year_closed,
3069,https://cinematreasures.org/theaters/3069,Audubon Theatre,Manhattan,3950 Broadway,New York,NY,10032,"3950 Broadway, New York, NY 10032",40.8394928,-73.9407632,Demolished,,Closed;Demolished,closed,1,2368,,,detail_city,no_year_opened;no_year_closed,
23879,https://cinematreasures.org/theaters/23879,Avenue A Theater,Manhattan,51 Avenue A,New York,NY,10009,"51 Avenue A, New York, NY 10009",40.7239439,-73.9852266,Demolished,,Closed;Demolished,closed,1,600,,1929,detail_city,no_year_opened,
6407,https://cinematreasures.org/theaters/6407,Avenue Playhouse,Manhattan,1187 Avenue of the Americas,New York,NY,10036,"1187 Avenue of the Americas, New York, NY 10036",40.7577731,-73.9820163,Demolished,,Closed;Demolished,closed,1,499,1914,,detail_city,no_year_closed,
11981,https://cinematreasures.org/theaters/11981,Avon 42nd Street Theatre,Manhattan,133 W. 42nd Street,New York,NY,10036,"133 W. 42nd Street, New York, NY 10036",40.7549192,-73.9842344,Demolished,,Closed;Demolished,closed,1,222,,,detail_city,no_year_opened;no_year_closed,
17845,https://cinematreasures.org/theaters/17845,Avon 7,Manhattan,724 7th Avenue,New York,NY,10036,"724 7th Avenue, New York, NY 10036",40.7599481,-73.9841527,Demolished,,Closed;Demolished,closed,1,266,1970,,detail_city,no_year_closed,
9929,https://cinematreasures.org/theaters/9929,Azteca Theatre,Manhattan,1490 Madison Avenue,New York,NY,10029,"1490 Madison Avenue, New York, NY 10029",40.7913659,-73.951553,Closed,,Closed,closed,1,588,,1960,detail_city,no_year_opened,
818,https://cinematreasures.org/theaters/818,Baronet and Coronet Theatre,Manhattan,993 3rd Avenue,New York,NY,10022,"993 3rd Avenue, New York, NY 10022",40.7616776,-73.9664668,Demolished,,Closed;Demolished,closed,2,918,1962,2001,detail_city,,
5998,https://cinematreasures.org/theaters/5998,Bay Cinema,Manhattan,570 2nd Avenue,New York,NY,10016,"570 2nd Avenue, New York, NY 10016",40.742973,-73.977009,Demolished,,Closed;Demolished,closed,1,550,1962,1994,detail_city,,
42,https://cinematreasures.org/theaters/42,Beacon Theatre,Manhattan,2124 Broadway,New York,NY,10023,"2124 Broadway, New York, NY 10023",40.7805932,-73.981318,Open,1,Open (Showing movies),open,1,3154,1929,,detail_city,,
306,https://cinematreasures.org/theaters/306,Beekman Theatre,Manhattan,1254 2nd Avenue,New York,NY,10021,"1254 2nd Avenue, New York, NY 10021",40.7649649,-73.961152,Demolished,,Closed;Demolished,closed,1,597,1952,2005,detail_city,,
8730,https://cinematreasures.org/theaters/8730,Beekman Theatre,Manhattan,1271 2nd Avenue,New York,NY,10065,"1271 2nd Avenue, New York, NY 10065",40.7653617,-73.9609007,Closed,,Closed,closed,2,850,1979,2019,detail_city,,
60829,https://cinematreasures.org/theaters/60829,Belasco Theatre,Manhattan,111 W. 44th Street,New York,NY,10036,"111 W. 44th Street, New York, NY 10036",,,Open,1,Open (Showing movies),,1,1030,1907,,detail_city,no_coords,
2986,https://cinematreasures.org/theaters/2986,Belmont Theatre,Manhattan,121 W. 48th Street,New York,NY,10036,"121 W. 48th Street, New York, NY 10036",40.7589854,-73.9821195,Demolished,,Closed;Demolished,closed,1,500,1937,1951,detail_city,,
43569,https://cinematreasures.org/theaters/43569,Belmore Theatre,Manhattan,2028 3rd Avenue,New York,NY,10029,"2028 3rd Avenue, New York, NY 10029",40.795218,-73.9422824,Closed,,Closed,closed,1,500,,,detail_city,no_year_opened;no_year_closed,
56994,https://cinematreasures.org/theaters/56994,Bernard B. Jacobs Theatre,Manhattan,242 W. 45th Street,New York,NY,10036,"242 W. 45th Street, New York, NY 10036",40.7586351,-73.9877258,Open,,Open,open,1,1058,1927,,detail_city,,
6630,https://cinematreasures.org/theaters/6630,Beverly Theatre,Manhattan,823 3rd Avenue,New York,NY,10022,"823 3rd Avenue, New York, NY 10022",40.7560196,-73.9705981,Demolished,,Closed;Demolished,closed,1,465,,1956,detail_city,no_year_opened,
305,https://cinematreasures.org/theaters/305,Big Cinemas Manhattan,Manhattan,239 E. 59th Street,New York,NY,10022,"239 E. 59th Street, New York, NY 10022",40.7609517,-73.9649322,Closed,,Closed,closed,1,300,2004,2003,detail_city,,
44950,https://cinematreasures.org/theaters/44950,Big Show,Manhattan,977 3rd Avenue,New York,NY,10022,"977 3rd Avenue, New York, NY 10022",40.7611312,-73.9668855,Demolished,,Closed;Demolished,closed,1,300,,,detail_city,no_year_opened;no_year_closed,
9810,https://cinematreasures.org/theaters/9810,Big Top Theatre,Manhattan,1604 Broadway,New York,NY,10019,"1604 Broadway, New York, NY 10019",40.760461,-73.984245,Demolished,,Closed;Demolished,closed,1,,,1980,detail_city,no_seats;no_year_opened,
16899,https://cinematreasures.org/theaters/16899,Bijou Cinema,Manhattan,82 E. 4th Street,New York,NY,10003,"82 E. 4th Street, New York, NY 10003",40.7262584,-73.9896598,Closed,,Closed,closed,1,48,2006,2005,detail_city,,
8371,https://cinematreasures.org/theaters/8371,Bijou Cinema,Manhattan,100 3rd Avenue,New York,NY,10003,"100 3rd Avenue, New York, NY 10003",40.732508,-73.988155,Closed,,Closed,closed,1,223,,2002,detail_city,no_year_opened,
2932,https://cinematreasures.org/theaters/2932,Bijou Theatre,Manhattan,209 W. 45th Street,New York,NY,10036,"209 W. 45th Street, New York, NY 10036",40.7581282,-73.9859002,Demolished,,Closed;Demolished,closed,1,365,1917,1981,detail_city,,
44085,https://cinematreasures.org/theaters/44085,Bijou Theatre,Manhattan,1239 Broadway,New York,NY,10001,"1239 Broadway, New York, NY 10001",40.7472445,-73.9885774,Demolished,,Closed;Demolished,closed,1,969,1873,1914,detail_city,,
53004,https://cinematreasures.org/theaters/53004,Bim's Endicott Theatre,Manhattan,127 W. 89th Street,New York,NY,10024,"127 W. 89th Street, New York, NY 10024",40.7890459,-73.9722018,Demolished,,Closed;Demolished,closed,1,600,,1931,detail_city,no_year_opened,
6016,https://cinematreasures.org/theaters/6016,Bleecker Street Cinemas,Manhattan,144 Bleecker Street,New York,NY,10012,"144 Bleecker Street, New York, NY 10012",40.7281801,-73.9993331,Closed,,Closed,closed,2,475,1980,1990,detail_city,,
40992,https://cinematreasures.org/theaters/40992,Blue Balcony Cinema,Manhattan,247 E. 2nd Street,New York,NY,10009,"247 E. 2nd Street, New York, NY 10009",40.7212435,-73.9817181,Closed,,Closed,closed,1,14,2013,2015,detail_city,,
64820,https://cinematreasures.org/theaters/64820,Booth Theatre,Manhattan,222 W. 45th Street,New York,NY,10036,"222 W. 45th Street, New York, NY 10036",40.7584168,-73.9868987,Open,,Open,open,1,704,1913,,detail_city,,
6495,https://cinematreasures.org/theaters/6495,Brandt's Murray Hill Theatre,Manhattan,74 E. 42nd Street,New York,NY,10017,"74 E. 42nd Street, New York, NY 10017",40.7520158,-73.977486,Demolished,,Closed;Demolished,closed,1,527,1940,,detail_city,no_year_closed,
23455,https://cinematreasures.org/theaters/23455,Bridge Theatre,Manhattan,1316 St. Nicholas Avenue,New York,NY,10033,"1316 St. Nicholas Avenue, New York, NY 10033",40.8459912,-73.9361506,Closed,,Closed,closed,1,574,,,detail_city,no_year_opened;no_year_closed,
59897,https://cinematreasures.org/theaters/59897,Broadway Garden Theatre,Manhattan,W. 145th Street and Broadway,New York,NY,10031,"W. 145th Street and Broadway, New York, NY 10031",,,Demolished,,Closed;Demolished,,1,,,,detail_city,no_coords;no_seats;no_year_opened;no_year_closed,
2250,https://cinematreasures.org/theaters/2250,Broadway Theatre,Manhattan,1681 Broadway,New York,NY,10019,"1681 Broadway, New York, NY 10019",40.7633202,-73.9828435,Open,,Open,open,1,1761,1940,,detail_city,,
6499,https://cinematreasures.org/theaters/6499,Bryant Theatre,Manhattan,138 W. 42nd Street,New York,NY,10036,"138 W. 42nd Street, New York, NY 10036",40.7554038,-73.9854898,Closed,,Closed,closed,1,600,1921,,detail_city,no_year_closed,
4426,https://cinematreasures.org/theaters/4426,B.S. Moss' Broadway Theatre,Manhattan,1445 Broadway,New York,NY,10018,"1445 Broadway, New York, NY 10018",40.7549377,-73.9866896,Demolished,,Closed;Demolished,closed,1,1700,1837,1929,detail_city,,
23152,https://cinematreasures.org/theaters/23152,Burlow Theater,Manhattan,,New York,NY,,"New York, NY",,,Closed,,Closed,,1,,,,detail_city,no_coords;no_seats;no_street_address;no_year_opened;no_year_closed,
34417,https://cinematreasures.org/theaters/34417,Canal Park Playhouse,Manhattan,508 Canal Street,New York,NY,10013,"508 Canal Street, New York, NY 10013",40.7248475,-74.0098519,Closed,,Closed,closed,1,55,,2017,detail_city,no_year_opened,
7093,https://cinematreasures.org/theaters/7093,Caribe Theatre,Manhattan,878 Columbus Avenue,New York,NY,10025,"878 Columbus Avenue, New York, NY 10025",40.7972912,-73.9643206,Demolished,,Closed;Demolished,closed,1,594,1934,1958,detail_city,,
